Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;country;introelapse;testelapse;surveyelapse;TIPI1;TIPI2;TIPI3;TIPI4;TIPI5;TIPI6;TIPI7;TIPI8;TIPI9;TIPI10;VCL1;VCL2;VCL3;VCL4;VCL5;VCL6;VCL7;VCL8;VCL9;VCL10;VCL11;VCL12;VCL13;VCL14;VCL15;VCL16;education;urban;gender;engnat;age;screenw;screenh;hand;religion;orientation;voted;married;familysize;major;race_arab;race_asian;race_black;race_white;race_hispanic;race_nativeam;race_nativeau;race_other;nerdy;ASD
4;3;5;1;4;4;1;4;4;3;1;1;3;4;4;3;0;5;1;4;4;2;4;4;1;3;US;44;141;125;5;5;7;2;7;5;7;6;5;1;1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;2;2;1;16;1280;720;1;7;4;2;1;3;NA;0;0;0;1;1;0;0;0;5;2
4;1;4;1;1;1;1;4;1;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;1;US;3;135;269;6;1;2;5;5;5;7;1;7;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;3;2;1;13;375;667;1;4;1;2;1;2;NA;0;0;0;1;0;0;0;0;2;2
5;5;5;4;4;4;5;4;4;5;5;5;3;5;4;5;5;5;5;4;3;2;5;4;4;4;GB;3;90;142;5;5;4;4;7;6;5;7;5;3;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;2;2;2;1;17;1366;768;1;1;2;2;1;6;psychology;0;0;0;1;0;0;0;0;6;2
3;1;5;3;4;4;5;4;5;4;1;5;5;5;1;3;4;5;1;5;2;4;5;5;1;5;US;38;136;183;3;2;5;2;5;6;6;5;6;6;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;2;1;2;1;36;768;1024;1;6;1;1;2;3;NA;0;0;0;0;0;0;0;1;4;2
3;5;4;3;4;3;4;1;4;5;1;3;3;5;4;3;3;5;1;1;5;3;5;5;1;5;CA;2;120;147;5;1;7;1;7;5;5;2;6;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;1;4;2;1;1;44;1067;800;1;4;1;2;2;3;archaeology;0;0;0;1;0;0;0;0;5;2
5;2;4;2;5;5;5;2;5;5;5;4;4;4;1;5;5;4;5;5;4;2;4;5;4;5;CA;8;64;119;1;6;7;6;7;7;2;2;2;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;2;1;1;17;1920;1080;1;2;1;2;1;3;NA;0;1;0;1;0;0;0;0;6;2
3;5;4;5;4;4;5;5;4;4;3;5;5;2;2;2;5;5;1;5;1;1;5;5;1;5;US;6;149;242;2;5;6;5;6;6;6;3;4;1;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;3;3;2;1;24;360;640;1;3;2;2;1;3;Neuroscience;0;1;0;0;0;0;0;0;4;2
4;4;5;4;2;3;4;3;4;5;4;1;5;4;4;3;4;4;5;4;3;4;4;5;2;4;NZ;240;127;218;2;1;6;5;6;7;7;2;6;2;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;1;2;2;1;1;19;320;568;1;2;2;2;1;3;media arts;0;0;0;1;0;0;0;0;7;1
3;4;4;3;3;3;5;4;4;4;4;4;4;4;3;3;4;1;3;3;1;2;3;4;3;4;IT;52;114;208;2;2;6;2;6;7;6;6;7;3;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;4;3;2;2;19;1366;768;1;2;2;1;1;2;biomedical engineering;0;0;0;1;0;0;0;0;4;2
4;3;4;5;1;3;4;4;5;4;1;5;3;2;2;4;4;3;1;3;2;1;3;4;2;3;NONE;10;108;147;3;6;7;5;4;5;2;1;7;1;1;1;0;1;1;0;0;0;0;1;0;0;1;0;1;1;3;1;1;2;21;1024;768;1;6;3;2;1;1;food science;0;0;1;0;0;0;0;0;1;2
