"","X","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","T1","T2","otwartosc","ugodowosc","kalafior"
"1",1,3,3,1,4,3,5,4,4,3,3,5,5,4,5,5,4,2,4,4,4,75,69,14,10,15
"2",2,5,5,5,3,5,5,5,4,4,5,5,5,5,4,5,5,4,4,5,3,91,99,7,8,10
"3",3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,98,103,9,2,17
"4",4,2,4,4,5,5,5,3,2,2,4,5,5,1,5,4,5,5,5,3,4,78,73,12,9,8
"5",5,5,5,4,5,2,5,4,4,4,4,5,4,4,5,5,5,5,4,5,1,85,80,10,8,11
"6",6,4,3,1,3,4,3,3,3,4,4,5,4,4,5,5,5,5,5,4,2,76,77,10,9,14
"7",7,3,3,4,2,3,3,4,4,2,3,3,2,4,4,4,5,3,4,5,1,66,72,13,8,3
"8",8,4,4,3,4,5,2,5,5,2,4,4,5,1,3,4,4,5,4,5,4,77,75,10,8,9
"9",9,5,5,3,5,4,5,5,3,1,1,5,4,3,5,4,4,5,5,5,5,82,79,14,7,11
"10",10,5,4,3,1,4,2,3,2,1,4,5,2,2,5,5,1,3,4,5,2,63,73,12,9,10
"11",11,5,5,5,5,5,4,5,2,3,2,5,5,4,5,4,5,4,5,5,5,88,76,5,6,12
"12",12,4,2,3,2,4,2,4,1,2,2,5,4,4,4,1,4,4,4,5,2,63,58,8,6,12
"13",13,5,5,1,3,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5,1,84,70,8,11,10
"14",14,4,4,4,5,5,4,4,1,4,3,5,5,2,5,5,4,2,2,5,4,77,65,9,8,16
"15",15,2,4,2,2,2,2,4,4,1,2,5,2,1,5,4,5,3,4,5,1,60,54,11,8,7
"16",16,4,1,2,5,4,1,1,3,1,3,5,4,2,5,1,2,5,4,5,1,59,75,13,8,11
"17",17,2,2,2,3,4,4,2,3,1,2,4,5,1,2,3,4,3,3,5,1,56,59,6,6,15
"18",18,3,4,5,1,5,5,3,1,3,1,3,3,1,5,3,5,4,5,3,5,68,70,8,7,12
"19",19,5,5,5,5,5,5,5,4,3,4,5,5,5,5,4,5,4,5,5,4,93,96,12,4,12
"20",20,5,5,3,5,5,4,5,2,4,4,5,5,5,4,5,5,5,5,5,1,87,90,13,9,13
"21",21,5,5,5,5,4,5,2,5,5,1,5,4,5,5,5,2,5,5,5,3,86,110,14,10,13
"22",22,5,4,5,4,1,4,5,3,2,5,4,4,4,4,5,4,3,4,5,3,78,87,9,5,12
"23",23,4,1,2,4,4,5,1,5,3,4,2,5,5,4,4,5,2,1,3,1,65,56,13,8,14
"24",24,5,5,5,5,5,4,4,4,2,5,5,5,5,5,5,5,5,5,5,2,91,88,10,4,13
"25",25,3,3,1,4,4,4,4,5,3,3,3,5,3,4,4,4,4,2,5,3,71,70,14,7,11
"26",26,1,1,2,3,3,1,2,1,1,2,4,2,1,2,2,1,1,1,1,1,33,22,10,11,8
"27",27,3,2,2,1,1,1,2,1,1,1,3,1,1,3,2,5,5,4,5,1,45,39,13,7,10
"28",28,5,5,5,5,5,5,5,2,4,3,5,5,3,5,4,4,3,1,5,1,80,78,14,7,9
"29",29,4,4,4,4,3,5,4,4,4,3,5,4,3,5,4,2,3,4,5,3,77,81,10,5,5
"30",30,2,5,2,2,4,2,4,4,2,2,4,4,1,4,4,2,4,2,4,2,60,79,9,8,10
"31",31,2,4,3,2,3,3,4,4,1,2,4,5,2,3,3,4,5,4,5,4,67,61,13,9,11
"32",32,3,1,2,5,4,4,4,1,1,3,4,4,2,4,1,4,3,2,5,1,58,48,14,9,17
"33",33,5,5,3,2,3,5,4,3,3,4,3,4,4,5,5,4,5,3,5,2,77,73,12,12,17
"34",34,2,2,3,5,2,4,5,3,1,2,3,3,2,5,2,5,3,3,1,3,59,52,11,10,15
"35",35,5,5,3,3,5,3,5,5,3,5,5,3,5,5,4,5,5,5,3,5,87,87,11,5,9
"36",36,3,4,5,2,2,5,5,4,2,4,5,5,2,5,1,5,4,5,5,1,74,69,11,13,6
"37",37,5,2,3,5,4,4,4,4,3,5,5,4,1,5,1,1,1,4,3,3,67,67,12,6,9
"38",38,4,5,5,4,5,5,5,5,4,4,5,2,5,5,5,5,5,4,5,5,92,80,9,7,16
"39",39,2,5,2,4,4,4,5,1,1,1,4,4,5,4,2,5,2,2,5,1,63,64,7,11,12
"40",40,5,5,4,4,5,1,5,5,1,1,5,5,5,5,1,5,5,5,3,5,80,83,10,9,13
"41",41,5,5,3,5,5,5,5,4,3,5,4,5,3,5,5,4,5,5,5,2,88,95,14,14,10
"42",42,1,5,5,2,4,3,3,1,2,1,5,4,3,5,5,5,1,5,5,1,66,66,14,10,7
"43",43,2,1,2,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5,3,1,78,73,6,5,14
"44",44,4,4,2,4,3,2,4,3,1,2,4,4,4,4,5,5,5,4,5,2,71,69,14,8,11
"45",45,3,4,2,5,3,5,5,4,3,3,5,5,4,3,4,2,5,3,5,3,76,63,11,8,9
"46",46,4,2,3,2,4,2,4,4,1,3,5,4,1,2,4,3,3,4,5,4,64,53,14,10,12
"47",47,5,4,5,3,4,1,5,1,3,5,5,1,4,4,5,1,3,3,4,5,71,77,14,9,15
"48",48,4,5,2,3,5,2,4,5,2,4,3,3,3,3,5,2,3,4,5,4,71,77,11,7,15
"49",49,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,96,97,8,4,15
"50",50,5,5,1,3,5,1,1,5,1,1,5,5,4,5,1,1,5,5,5,4,68,72,14,8,11
"51",51,4,5,5,4,4,5,5,4,4,5,5,5,4,5,4,4,5,5,5,5,92,93,13,6,15
"52",52,4,5,5,2,4,5,5,1,4,4,5,5,4,5,4,4,4,5,4,1,80,89,7,9,12
"53",53,2,4,3,1,3,2,1,2,1,2,3,2,2,4,2,2,3,1,3,1,44,39,13,9,13
"54",54,5,1,2,4,4,4,1,2,3,5,5,5,1,5,4,1,2,4,4,4,66,69,13,5,16
"55",55,5,4,4,5,5,2,4,4,2,4,5,5,5,4,5,4,2,5,5,5,84,82,13,7,14
"56",56,1,1,4,5,5,5,5,1,1,5,5,5,5,5,3,5,1,2,5,1,70,67,14,6,12
"57",57,1,1,3,5,5,2,3,1,1,1,5,5,1,5,4,5,5,5,5,1,64,72,14,7,16
"58",58,4,3,1,4,5,1,4,2,1,2,5,4,4,5,4,5,2,4,3,2,65,71,14,9,11
"59",59,5,5,2,4,4,5,4,2,3,4,5,4,3,5,3,4,5,4,5,1,77,72,9,5,10
"60",60,4,2,4,4,5,2,4,2,2,2,5,4,1,4,2,5,4,4,5,1,66,74,10,9,13
"61",61,5,2,1,5,5,2,5,5,4,5,1,4,4,5,5,3,2,1,5,4,73,77,10,5,12
"62",62,5,5,3,5,5,3,5,3,3,4,5,5,5,4,4,2,5,5,5,3,84,80,9,8,12
"63",63,2,2,2,3,4,3,1,2,3,2,5,5,3,5,3,2,5,4,5,4,65,77,12,10,11
"64",64,1,1,4,2,2,1,2,3,1,1,4,1,1,4,2,1,4,1,1,1,38,38,13,12,9
"65",65,3,3,2,5,4,3,5,4,2,3,5,1,2,5,3,5,3,5,4,1,68,77,8,9,16
"66",66,4,2,2,2,3,2,4,1,2,4,4,5,2,1,3,1,2,3,4,1,52,46,8,8,7
"67",67,1,1,4,1,2,5,4,1,2,2,2,2,2,4,2,3,2,1,4,2,47,60,10,9,15
"68",68,4,4,2,4,4,5,4,4,4,5,4,5,2,4,3,4,4,5,4,2,77,83,11,12,9
"69",69,5,4,3,4,4,5,5,3,3,3,5,5,5,5,4,3,5,5,5,4,85,75,14,6,15
"70",70,4,4,4,4,4,4,3,2,3,2,4,3,2,3,4,3,3,4,4,3,67,68,11,10,8
"71",71,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,62,56,3,8,14
"72",72,1,1,1,3,4,1,1,1,1,1,4,1,1,4,3,2,4,1,5,1,41,28,13,9,10
"73",73,2,1,4,4,5,1,4,3,1,1,5,5,1,5,4,4,5,5,5,3,68,68,13,9,15
"74",74,5,5,4,2,5,4,5,3,3,4,5,5,5,4,4,5,5,4,4,3,84,87,11,7,10
"75",75,5,5,4,4,4,4,5,4,2,4,3,5,4,4,5,4,3,4,5,5,83,78,9,3,15
"76",76,3,4,2,3,4,5,4,2,2,2,5,2,4,4,3,5,3,4,5,2,68,74,11,5,13
"77",77,3,3,3,5,4,4,4,4,4,4,5,4,4,4,4,4,3,3,5,4,78,80,6,7,12
"78",78,5,4,2,1,5,1,1,1,2,2,3,4,2,3,4,4,1,4,2,4,55,55,14,9,11
"79",79,5,4,4,3,4,4,4,3,3,4,5,5,2,5,5,5,1,4,4,4,78,72,10,6,8
"80",80,2,4,2,2,3,2,4,4,1,4,4,4,1,2,4,5,4,4,2,1,59,50,12,5,12
"81",81,5,5,5,5,5,5,5,5,4,5,5,1,1,5,3,5,5,4,5,1,84,79,9,3,11
"82",82,5,2,2,4,5,1,1,5,1,1,1,5,5,2,5,1,5,5,1,4,61,70,14,10,18
"83",83,3,5,4,4,5,4,5,1,1,5,3,5,4,5,4,5,4,4,5,4,80,85,12,9,12
"84",84,4,5,2,5,5,4,5,4,2,1,5,5,5,5,4,1,5,5,4,2,78,79,10,8,12
"85",85,5,4,2,2,4,5,1,5,5,3,5,5,5,5,4,4,5,4,5,3,81,81,11,10,13
"86",86,5,4,5,4,4,5,5,4,2,1,4,5,4,5,3,3,3,5,4,1,76,83,9,8,10
"87",87,4,5,5,2,5,2,4,4,4,1,5,5,2,5,2,5,5,4,5,3,77,77,12,9,12
"88",88,4,2,5,5,5,5,5,4,2,3,5,5,4,5,3,5,5,4,5,4,85,90,10,11,12
"89",89,1,2,4,3,2,4,5,1,1,3,5,2,1,5,5,5,4,3,2,2,60,50,13,13,16
"90",90,5,5,5,2,4,3,5,2,5,3,5,2,1,5,2,1,5,5,5,1,71,69,7,12,16
"91",91,5,4,4,5,5,2,3,5,1,2,1,5,4,4,2,4,5,5,5,5,76,68,14,4,19
"92",92,2,4,2,2,3,2,4,4,2,2,3,2,2,4,4,2,4,3,5,1,57,55,6,14,6
"93",93,5,4,4,2,4,3,5,2,1,2,4,5,1,4,5,5,2,5,3,5,71,67,11,10,14
"94",94,3,5,1,5,3,1,1,5,1,1,5,1,1,5,1,1,5,1,5,1,52,47,9,9,11
"95",95,4,1,5,1,1,4,4,4,1,1,5,4,2,5,3,4,5,4,2,1,61,58,14,13,12
"96",96,5,1,1,2,2,1,1,1,1,3,1,1,5,3,1,5,4,1,4,1,44,43,3,14,13
"97",97,5,5,5,1,5,5,5,4,5,5,5,5,5,4,5,2,5,5,5,5,91,90,9,3,16
"98",98,4,5,4,3,4,4,4,3,3,2,5,5,5,5,4,4,5,5,5,2,81,91,12,6,15
"99",99,5,2,3,4,2,4,5,2,3,4,5,3,3,5,3,2,3,4,4,1,67,71,12,8,10
"100",100,5,4,3,3,4,3,4,4,4,4,4,4,3,4,5,5,5,5,5,5,83,84,14,7,12
"101",101,4,2,4,4,4,5,4,3,2,5,4,4,3,5,5,5,5,2,5,1,76,73,12,9,14
"102",102,4,4,3,3,4,4,5,3,3,4,5,5,5,4,3,5,2,2,4,4,76,75,10,8,11
"103",103,5,4,5,4,4,5,5,4,4,5,5,5,4,5,4,5,4,5,5,4,91,93,10,12,16
"104",104,2,1,5,3,5,4,4,5,2,4,5,4,1,4,3,5,5,5,4,1,72,78,13,4,14
"105",105,5,5,5,5,5,5,2,3,5,1,5,4,5,5,4,5,5,5,5,5,89,94,12,6,15
"106",106,2,2,2,4,4,4,4,4,4,2,5,4,4,4,4,4,5,5,5,1,73,66,10,8,12
"107",107,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,96,116,13,3,12
