"","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","TIPI1","TIPI2","TIPI3","TIPI4","TIPI5","TIPI6","TIPI7","TIPI8","TIPI9","TIPI10","VCL1","VCL2","VCL3","VCL4","VCL5","VCL6","VCL7","VCL8","VCL9","VCL10","VCL11","VCL12","VCL13","VCL14","VCL15","VCL16","testelapse","T1"
"70001",4,5,1,1,4,3,3,1,1,1,5,5,5,1,1,3,5,1,5,3,6,1,7,7,5,4,4,3,4,3,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,"147",58
"70002",5,5,5,5,5,5,5,2,5,5,4,5,4,5,5,4,4,5,5,4,2,3,3,6,6,3,2,1,7,7,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,"148",92
"70003",4,5,2,2,5,2,4,1,1,4,5,5,2,5,4,3,4,4,5,3,5,2,7,4,7,2,6,6,7,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,"240",70
"70004",3,3,2,4,4,3,3,5,2,3,4,4,4,2,4,4,4,4,4,4,6,5,5,2,6,5,6,3,5,6,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,"90",70
"70005",3,4,2,2,2,4,4,4,2,2,2,4,4,5,4,1,4,4,4,2,6,5,5,5,6,5,5,4,5,4,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,"173",63
"70006",2,2,3,1,2,2,2,1,1,1,4,2,1,3,2,1,3,2,4,1,6,2,6,5,7,4,5,3,7,5,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,"150",40
"70007",4,5,4,4,2,4,4,2,2,5,4,4,4,5,2,4,3,4,5,1,6,3,3,7,7,5,5,3,7,7,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,"127",72
"70008",5,5,5,3,4,5,5,2,5,5,5,5,4,5,5,5,3,4,5,3,6,1,5,6,7,6,1,2,6,6,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,"171",88
"70009",1,2,1,1,4,2,2,1,1,1,4,4,1,4,1,2,5,2,4,4,2,6,5,3,5,1,7,3,6,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"255",47
"70010",4,3,3,1,3,1,3,1,1,4,1,5,3,2,5,2,5,5,5,1,2,3,7,5,7,1,7,7,7,3,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,"290",58
"70011",5,4,4,4,3,4,4,5,4,5,5,4,2,4,4,3,5,4,3,3,2,7,7,6,6,2,3,6,7,7,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,"181",79
"70012",2,3,4,3,3,2,4,1,1,1,4,2,3,4,1,4,5,1,2,2,4,3,5,5,7,4,7,3,3,4,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,"177",52
"70013",1,2,3,2,4,4,3,1,1,1,3,1,2,3,4,2,5,1,5,2,5,6,5,6,3,3,5,3,6,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"161",50
"70014",3,4,5,4,3,5,4,4,4,3,5,3,5,4,3,1,5,3,5,4,6,5,5,6,6,7,4,4,6,5,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,"124",77
"70015",2,5,2,2,5,5,5,5,2,4,5,1,1,5,5,5,2,4,5,1,3,6,2,2,2,2,7,6,5,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"246",71
"70016",5,5,1,2,4,1,1,5,1,1,1,4,5,4,5,1,3,5,5,5,7,1,7,1,7,5,5,7,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,"338",64
"70017",4,5,1,2,3,1,4,3,1,2,4,5,4,3,3,1,4,4,3,4,7,4,3,6,5,4,7,3,6,4,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,"325",61
"70018",1,1,5,1,2,4,4,1,1,1,4,2,4,5,2,1,1,1,4,1,6,7,7,7,7,7,6,7,7,6,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,"418",46
"70019",5,5,5,1,5,5,5,4,1,5,5,3,1,1,1,1,5,5,4,1,4,4,4,3,5,2,6,3,6,2,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,"326",68
"70020",1,4,3,1,1,4,5,1,2,3,4,4,3,5,2,1,4,5,5,1,6,3,6,5,7,6,6,7,4,3,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"115",59
"70021",4,4,5,5,4,5,5,5,5,5,5,5,5,3,4,5,2,5,5,5,6,1,7,7,5,5,1,7,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"134",91
"70022",2,3,1,3,2,2,2,3,1,1,4,4,5,3,5,3,3,4,5,1,4,5,6,1,6,3,5,5,5,6,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"166",57
"70023",3,3,2,3,3,2,1,4,1,2,2,3,2,3,3,3,5,3,1,3,5,5,3,7,5,6,4,6,6,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,"150",52
"70024",1,2,2,2,1,5,5,2,1,2,5,2,4,5,2,4,3,4,5,1,2,6,6,2,6,5,7,6,3,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"160",58
"70025",3,4,3,3,4,5,5,3,3,3,5,5,3,4,4,5,3,4,5,1,4,3,5,2,6,3,5,4,2,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,"210",75
"70026",3,3,1,2,4,1,5,1,1,3,4,1,1,4,3,4,3,1,3,2,6,3,7,5,5,4,7,7,5,7,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,"278",50
"70027",5,2,4,2,4,5,5,4,3,3,1,4,5,4,3,5,4,4,5,1,1,6,4,5,3,1,4,3,6,7,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,"107",73
"70028",3,4,3,2,3,4,5,2,3,3,4,2,3,3,4,5,5,2,5,2,3,2,4,2,7,3,5,2,3,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"125",67
"70029",4,4,3,1,2,3,5,2,4,2,5,2,1,3,4,2,3,4,4,1,6,5,6,6,7,7,6,7,6,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,"237",59
"70030",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,"142",60
"70031",2,2,4,1,2,4,4,1,2,3,2,4,1,4,5,5,3,5,1,1,7,6,6,3,7,5,6,7,5,7,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,"376",56
"70032",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,4,2,2,6,2,3,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"672",100
"70033",5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,3,5,7,7,2,5,7,7,7,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,"95",96
"70034",4,4,4,4,2,4,5,1,4,4,5,5,3,5,5,5,3,5,5,5,3,1,2,6,4,6,1,3,3,6,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,"137",82
"70035",5,1,1,5,1,5,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,1,1,1,1,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"81",68
"70036",1,2,4,1,2,1,1,2,2,1,4,1,1,2,3,1,2,1,4,1,7,6,5,7,6,6,7,6,7,7,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,"259",37
"70037",4,3,2,2,2,2,4,1,1,4,3,4,1,3,3,2,3,4,5,2,4,6,4,5,5,3,7,6,5,6,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,"281",55
"70038",5,4,2,2,5,4,5,5,3,5,5,5,1,5,4,5,5,5,5,5,4,3,6,3,7,5,6,3,2,7,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"199",85
"70039",2,5,2,2,1,5,5,1,4,5,5,2,2,3,5,2,1,5,5,1,2,6,6,3,6,2,6,5,5,6,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"118",63
"70040",4,4,1,1,1,2,5,1,1,4,1,2,4,4,4,2,5,5,5,1,1,2,7,2,5,1,5,1,6,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"129",57
"70041",1,3,4,5,1,2,5,4,1,3,5,1,1,4,2,2,5,1,5,1,5,6,4,5,6,2,6,4,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"796",56
"70042",4,4,5,3,4,5,5,4,3,3,4,5,5,5,4,5,4,3,5,5,5,2,7,5,3,3,2,7,6,5,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,"115",85
