P1	P2	P4	P6	P7	P3	P5	P8	P9	P10	TOTAL	gender	age	source	country
2	2	3	3	2	3	1	2	1	1	20	1	40	1	US
3	3	2	2	2	3	3	2	1	2	23	1	36	1	US
1	2	2	2	1	2	1	1	1	1	14	2	22	1	US
3	2	2	2	1	2	2	1	1	1	17	1	31	1	US
3	3	3	3	3	3	3	3	3	3	30	1	30	1	EU
3	3	2	2	3	3	3	2	2	3	26	2	25	1	CA
3	3	3	1	2	2	2	0	1	1	18	1	32	1	US
0	0	0	0	0	0	0	3	0	0	3	1	51	3	US
3	3	3	3	2	2	3	3	3	3	28	1	37	1	US
2	3	2	2	2	3	2	2	3	3	24	2	41	1	US
3	3	3	2	1	1	1	2	1	1	18	1	42	1	US
2	2	2	1	2	1	1	1	0	0	12	2	31	1	SE
2	3	2	0	0	1	1	0	1	3	13	2	31	3	GB
3	3	2	3	3	3	3	3	3	3	29	1	27	3	US
2	3	2	1	0	2	1	2	0	1	14	1	29	3	GB
3	3	3	3	3	3	3	2	3	3	29	1	18	3	GB
1	2	3	1	1	0	1	0	0	0	9	2	19	3	NZ
1	1	1	1	1	1	2	1	1	1	11	1	19	3	CA
3	3	2	1	1	2	1	1	1	1	16	1	28	3	DE
2	2	1	1	1	1	1	1	2	1	13	2	34	3	AE
3	3	2	2	1	3	1	1	0	0	16	2	51	3	US
1	2	2	0	0	0	1	0	1	1	8	2	22	3	BE
2	2	2	2	3	0	1	0	2	2	16	1	54	3	GB
2	2	1	2	2	1	1	2	0	1	14	1	27	1	DE
2	1	2	1	0	0	0	0	0	0	6	1	26	3	US
2	2	2	1	1	2	2	1	1	1	15	2	33	3	GB
3	2	3	3	3	2	2	1	1	0	20	1	0	3	IN
3	3	3	3	3	3	3	3	3	0	27	1	25	3	IN
3	3	3	2	3	3	3	2	3	3	28	1	38	1	US
3	3	3	2	3	3	3	3	3	3	29	2	46	1	US
2	3	3	3	2	3	2	2	0	3	23	1	33	1	US
0	0	1	0	0	0	0	0	0	0	1	1	19	1	US
1	2	2	0	1	2	1	0	1	1	11	1	23	3	US
1	2	1	0	1	0	1	0	3	3	12	2	35	3	US
1	2	1	1	0	1	2	1	0	1	10	1	33	3	US
2	2	2	2	2	2	1	0	0	0	13	2	22	1	US
3	3	3	2	2	2	2	3	3	3	26	2	35	1	US
2	2	3	2	2	2	1	0	1	3	18	2	43	1	US
2	2	1	2	2	2	1	2	1	1	16	0	0	3	NZ
2	2	1	1	1	1	1	1	1	1	12	2	49	3	US
1	2	1	1	1	2	1	0	0	1	10	1	25	3	HU
3	3	3	3	3	3	3	3	1	2	27	2	56	3	GB
3	3	3	3	3	3	3	3	3	3	30	1	24	3	US
2	2	1	1	1	1	1	0	0	1	10	1	36	3	FR
2	2	3	1	2	2	2	1	1	2	18	2	38	1	BE
0	0	1	1	0	0	0	0	0	0	2	1	26	3	SG
1	2	0	0	1	2	1	0	1	2	10	2	0	3	US
3	3	3	3	3	3	3	3	3	3	30	1	29	1	US
3	3	3	3	3	3	3	3	3	3	30	1	66	3	US
2	2	2	1	1	1	1	0	1	1	12	2	48	1	MX
2	1	2	1	1	1	1	1	1	1	12	1	28	3	US
2	2	2	2	3	2	2	2	1	2	20	1	21	1	US
2	2	3	2	2	2	2	2	2	2	21	1	32	3	GB
3	3	3	3	2	3	3	2	3	3	28	3	22	1	PL
3	3	3	2	2	2	3	0	2	3	23	1	54	1	CA
1	3	1	2	1	2	1	0	1	2	14	2	49	1	CA
2	2	2	1	1	1	0	1	1	1	12	1	54	3	AU
3	3	3	3	3	3	3	3	3	3	30	1	23	3	CA
2	2	2	1	1	1	1	0	1	1	12	2	22	1	CA
1	2	2	1	1	1	1	1	2	1	13	2	21	3	AL
3	3	3	2	1	2	2	2	1	2	21	1	29	3	US
3	3	2	1	1	1	1	1	3	1	17	2	15	1	BR
3	2	1	0	0	2	2	2	3	3	18	1	32	1	US
2	2	2	2	2	2	2	1	2	2	19	1	40	3	AE
2	2	2	0	0	0	2	0	1	0	9	1	22	3	DE
2	2	2	0	0	1	2	0	1	1	11	1	22	3	DE
2	1	1	2	3	2	0	1	1	0	13	2	22	3	RO
3	2	2	2	2	2	2	2	2	1	20	1	22	3	RO
2	2	2	2	2	3	3	1	1	3	21	1	38	3	PT
3	3	3	3	3	3	3	3	3	3	30	2	34	3	GB
3	2	2	1	1	2	2	1	1	1	16	2	26	1	AU
2	2	2	1	1	2	2	1	1	1	15	2	40	3	GB
2	3	2	2	2	3	0	3	3	3	23	2	26	3	GB
2	2	2	0	0	2	0	0	1	0	9	1	29	1	CA
1	2	1	1	0	2	1	1	0	1	10	2	28	3	US
3	3	3	2	2	2	3	2	3	3	26	1	45	3	US
2	2	2	1	1	2	2	2	2	2	18	1	20	3	US
3	3	2	2	3	2	2	3	2	2	24	2	16	3	AU
3	2	3	2	2	3	3	2	3	3	26	1	30	1	SE
2	2	3	2	2	3	3	2	3	3	25	1	44	3	NL
3	2	2	2	2	3	2	1	1	2	20	1	40	3	GB
1	2	3	2	2	2	2	0	0	0	14	2	43	1	GB
1	1	1	0	0	0	0	0	0	0	3	2	39	1	BE
2	2	1	1	2	2	1	2	1	1	15	1	31	3	ZA
3	3	3	3	2	3	3	3	2	3	28	2	41	1	MX
2	1	0	1	1	1	0	1	0	1	8	2	14	3	US
3	3	3	1	1	3	1	0	3	3	21	2	60	3	US
3	3	3	2	3	3	3	3	1	1	25	2	39	1	CA
0	2	3	1	2	1	1	3	2	1	16	1	22	1	AU
2	0	1	0	0	0	0	0	0	0	3	1	15	1	US
2	3	3	2	0	2	2	1	1	1	17	1	27	1	US
3	3	3	3	2	3	2	0	2	3	24	2	27	3	MY
3	3	3	3	2	3	2	2	2	2	25	1	20	1	US
2	2	1	2	1	1	2	1	2	1	15	1	30	3	GB
2	2	2	3	3	2	3	2	3	3	25	2	0	3	US
2	3	2	2	2	3	2	1	2	3	22	2	27	3	US
2	3	2	2	2	2	2	2	1	1	19	1	44	3	GB
3	2	2	2	2	3	2	2	3	2	23	2	21	3	ID
2	2	1	1	1	1	1	0	1	2	12	2	16	3	US
2	2	3	2	2	2	3	1	1	3	21	1	21	1	MX
3	2	3	2	3	3	3	1	2	3	25	2	21	2	CN
2	2	2	1	2	2	2	1	2	1	17	2	51	3	GB
2	2	2	1	1	2	2	1	1	1	15	2	33	1	DE
2	3	3	2	1	0	2	0	0	3	16	2	58	3	US
3	2	3	2	2	1	3	2	1	1	20	1	41	1	NL
2	2	2	1	1	2	1	1	2	1	15	2	21	3	US
1	1	1	0	0	0	0	2	0	0	5	1	19	1	US
3	3	3	3	3	3	3	3	3	3	30	2	66	3	US
1	1	1	1	1	1	1	1	0	0	8	1	39	1	US
3	3	2	2	3	3	3	3	3	3	28	1	31	3	GB
3	3	3	3	3	3	3	1	1	3	26	2	27	3	KR
2	2	2	2	2	3	3	3	1	2	22	2	30	3	PT
3	3	2	3	2	2	0	2	3	3	23	2	21	3	US
3	2	1	1	1	2	2	1	1	1	15	2	20	3	US
3	3	2	3	2	3	2	2	1	2	23	1	62	1	US
1	2	2	1	1	1	1	1	1	1	12	1	18	3	TR
1	1	1	1	1	1	1	1	1	1	10	2	19	3	US
2	3	3	2	2	2	2	2	1	2	21	2	35	1	US
2	2	2	2	3	0	2	3	1	2	19	1	35	3	BG
2	3	3	1	1	1	1	0	2	2	16	2	40	3	US
3	3	1	1	1	1	1	1	1	2	15	1	46	1	US
3	2	1	1	1	1	2	2	1	3	17	2	23	3	US
2	3	2	2	2	2	2	1	1	2	19	2	14	1	ES
2	2	2	1	1	2	1	2	2	2	17	1	49	1	GB
3	3	3	2	2	3	3	3	2	3	27	2	51	3	DE
3	3	3	3	3	3	3	0	3	3	27	1	20	1	US
3	3	1	2	0	2	1	0	1	1	14	1	23	3	US
2	3	2	2	2	2	2	2	2	2	21	1	21	1	NZ
2	2	2	1	0	1	1	2	1	1	13	1	49	3	IL
1	1	3	1	1	0	2	0	0	1	10	2	34	1	US
1	2	2	1	0	1	1	1	1	1	11	1	22	1	US
2	2	2	2	2	2	2	2	3	3	22	1	33	3	GB
1	2	3	3	3	2	3	1	1	1	20	2	24	3	PL
1	1	0	0	0	3	3	1	3	3	15	1	19	3	US
3	3	3	2	2	3	1	1	3	3	24	2	55	3	AU
3	2	2	1	1	2	1	1	3	3	19	1	21	1	MX
1	2	2	1	1	1	0	0	1	1	10	1	62	3	US
1	2	2	1	2	2	2	1	2	1	16	2	23	3	NL
2	2	2	2	2	2	2	2	0	2	18	1	34	1	NL
3	3	3	2	1	3	3	0	2	3	23	2	39	3	CA
3	3	3	1	1	0	0	1	0	0	12	1	45	3	US
2	2	2	1	1	1	2	0	1	1	13	2	41	1	US
2	2	2	2	2	2	2	1	2	2	19	2	20	3	US
2	2	2	1	1	1	1	1	1	0	12	2	29	3	US
3	3	3	3	3	3	0	2	3	3	26	2	28	3	PL
2	2	2	2	2	3	3	0	2	2	20	2	39	1	DE
0	2	1	3	2	1	2	0	2	2	15	2	25	3	ID
3	3	3	2	1	3	3	2	3	3	26	1	29	1	DE
2	3	1	1	0	0	1	0	0	0	8	1	49	3	IN
2	2	2	1	2	1	2	3	1	1	17	1	22	3	CA
1	2	1	1	1	1	0	1	2	2	12	2	45	1	US
0	0	2	1	1	0	0	1	0	0	5	2	39	1	GB
3	3	2	2	2	2	1	2	2	3	22	1	51	3	US
3	3	3	2	2	3	2	2	2	2	24	2	45	3	US
2	2	2	2	2	2	2	1	1	2	18	2	43	3	AU
3	3	3	2	0	0	0	2	3	2	18	2	33	1	US
2	2	1	1	1	1	2	1	1	1	13	2	46	1	US
1	1	1	1	0	1	0	0	1	1	7	1	16	1	CA
3	2	2	1	1	2	2	1	3	1	18	2	26	3	US
2	2	2	2	1	1	2	1	1	1	15	1	39	1	ZA
2	2	2	2	2	2	2	1	2	1	18	1	44	1	US
3	3	3	2	2	2	2	1	1	1	20	1	26	3	US
3	3	3	3	3	3	3	3	3	3	30	1	21	1	US
3	3	2	2	2	3	2	2	2	2	23	1	23	3	AU
1	1	1	0	0	1	0	0	0	0	4	1	41	3	US
3	3	3	3	3	3	3	3	3	3	30	1	35	1	HK
2	2	2	3	3	3	2	3	1	3	24	1	20	3	GB
2	2	1	2	1	1	2	0	1	1	13	2	18	3	US
2	2	2	1	1	2	1	0	3	3	17	2	42	1	US
2	3	2	2	2	2	2	1	2	2	20	1	44	3	AU
2	3	2	2	2	3	2	1	1	1	19	1	44	3	AU
2	2	2	2	2	2	0	1	0	1	14	2	34	1	AU
3	3	2	2	2	3	3	1	2	2	23	1	32	3	US
3	3	3	2	2	2	3	1	2	2	23	1	61	1	CA
1	2	1	1	0	1	1	1	3	0	11	1	28	3	GB
3	3	2	2	3	3	3	1	2	3	25	2	21	3	US
2	2	2	1	0	1	1	0	0	0	9	2	27	1	CA
2	3	3	3	3	1	1	0	0	0	16	1	39	3	US
2	3	3	3	2	3	2	2	2	2	24	1	39	3	US
1	0	1	1	0	0	0	0	0	0	3	2	33	3	DE
2	2	1	0	0	1	0	0	0	0	6	1	41	3	BE
3	3	3	3	2	3	3	2	2	3	27	2	54	1	US
2	2	1	1	1	1	2	1	1	1	13	2	44	1	US
3	3	3	3	3	3	3	3	3	3	30	1	32	3	GR
0	3	1	0	0	0	0	0	0	0	4	1	27	3	GB
3	3	3	3	3	3	3	3	3	3	30	2	13	1	US
2	3	3	2	2	3	3	2	3	3	26	2	19	1	PH
2	3	2	1	1	2	1	0	2	3	17	2	49	1	US
2	2	1	1	0	3	1	1	0	1	12	1	26	3	IN
0	2	2	1	1	1	1	1	1	1	11	1	21	1	US
3	3	3	1	0	0	0	0	0	2	12	1	53	1	US
2	2	2	2	2	2	2	3	3	1	21	1	37	3	US
3	3	2	2	2	3	3	1	1	3	23	2	51	3	JP
3	3	3	3	2	2	3	2	3	3	27	2	28	1	SI
2	2	2	1	1	1	2	1	2	2	16	2	29	3	GB
2	1	2	2	3	3	1	1	1	2	18	2	17	1	US
0	0	0	0	0	3	3	3	3	3	15	2	40	3	HK
2	2	1	1	0	1	2	1	1	1	12	2	21	3	CA
2	2	3	2	2	2	2	2	2	3	22	2	26	1	US
2	2	1	2	2	2	2	1	0	0	14	1	38	1	US
2	2	3	1	0	1	0	1	1	1	12	1	31	1	US
3	3	2	2	1	1	1	1	1	1	16	1	54	1	EU
3	3	2	2	2	3	0	1	3	3	22	2	52	3	CA
2	2	2	1	1	2	1	0	1	1	13	2	25	3	RO
2	3	2	2	3	3	3	3	3	3	27	2	20	3	US
3	3	3	2	3	3	3	2	2	3	27	2	59	3	US
3	3	3	2	2	2	2	2	1	3	23	1	24	3	CA
3	3	2	2	2	2	2	3	2	2	23	1	47	3	US
3	3	3	3	3	3	3	3	3	3	30	2	44	3	GB
2	2	3	2	1	2	1	2	3	2	20	1	42	1	US
3	3	2	3	3	2	1	2	3	3	25	1	53	3	GB
3	3	2	3	3	3	3	2	3	3	28	2	22	3	CA
3	3	2	2	3	2	3	1	1	2	22	2	21	3	PK
3	3	3	2	1	2	2	0	2	2	20	1	12	3	PK
3	3	1	2	2	3	2	2	2	2	22	1	45	3	PK
2	2	2	1	1	1	1	0	0	1	11	2	21	3	GB
2	2	3	1	0	1	2	2	1	2	16	1	24	1	US
2	2	2	2	1	3	2	2	3	3	22	2	14	3	US
3	3	2	2	2	3	3	2	3	3	26	2	14	3	US
0	1	3	0	1	1	3	1	1	1	12	2	25	1	US
2	2	2	0	0	0	0	0	0	0	6	1	47	3	LU
3	0	2	2	2	3	2	3	2	3	22	2	49	1	CL
1	1	1	0	0	0	1	1	1	1	7	1	25	1	GB
1	2	1	1	1	1	0	0	0	0	7	1	18	3	US
2	2	2	2	2	2	2	1	1	1	17	2	27	1	US
3	3	3	3	3	3	3	2	3	3	29	2	34	3	US
2	2	2	3	2	2	2	1	1	1	18	1	36	1	SG
3	3	2	2	2	2	3	3	2	2	24	1	20	3	TR
3	3	3	2	2	2	3	1	1	1	21	2	43	1	US
3	2	3	2	2	2	1	1	1	3	20	1	35	1	AU
3	3	3	2	3	3	3	3	1	3	27	2	23	3	GB
2	2	1	1	0	1	0	0	0	0	7	1	40	3	IN
2	2	1	1	1	2	2	2	1	1	15	2	59	1	US
2	1	2	2	1	2	1	2	2	1	16	2	31	1	US
2	2	2	1	1	2	1	0	1	1	13	1	29	3	RU
2	2	3	3	2	2	2	1	2	2	21	2	18	3	HK
2	3	2	2	2	2	3	2	2	3	23	2	40	3	RO
2	2	2	1	1	3	2	2	1	3	19	1	23	3	NO
3	3	3	3	3	3	3	3	3	3	30	1	19	3	ES
3	3	3	1	3	3	2	3	1	1	23	2	40	1	FR
3	3	3	3	1	3	3	1	2	3	25	1	27	1	US
2	2	2	2	2	2	2	1	2	1	18	2	21	1	JE
3	2	2	2	0	1	0	0	1	1	12	1	19	1	JE
3	3	2	2	2	3	3	2	2	3	25	2	51	1	US
0	2	3	1	1	0	1	1	0	1	10	1	14	1	US
1	2	1	0	1	1	2	1	0	0	9	2	24	1	GH
2	2	1	2	0	0	1	2	0	0	10	2	18	1	NZ
3	3	2	2	2	3	2	1	1	2	21	2	29	1	GB
3	3	3	3	3	1	3	3	0	3	25	2	19	1	GB
2	2	2	0	0	1	1	1	1	1	11	1	21	3	US
3	3	3	3	3	3	2	3	2	1	26	2	27	3	DK
3	3	2	2	2	2	3	0	2	3	22	2	35	3	US
1	2	2	2	1	1	2	1	1	1	14	1	28	3	GB
2	2	2	2	2	1	1	1	1	2	16	2	22	1	AU
2	2	2	2	2	2	2	1	1	2	18	2	30	3	US
1	1	1	1	1	2	2	2	2	2	15	2	20	3	US
2	2	3	3	3	1	1	0	3	3	21	1	17	1	IN
2	2	2	1	1	2	2	2	2	2	18	2	57	1	GB
3	3	3	3	3	3	3	3	3	3	30	2	16	3	IL
3	3	2	3	3	3	3	3	3	3	29	2	22	1	US
3	3	3	3	3	3	3	3	3	3	30	2	27	1	GB
1	1	2	1	0	2	1	1	1	1	11	1	19	3	GB
2	2	2	2	2	2	2	0	2	2	18	2	36	1	GB
1	1	0	0	0	0	2	0	0	0	4	2	19	3	US
1	1	2	1	1	0	0	1	0	0	7	1	19	1	US
2	3	3	0	1	2	2	0	0	1	14	1	16	1	US
3	3	2	2	2	3	3	2	2	3	25	1	39	3	US
2	2	2	2	1	2	1	1	1	1	15	2	24	1	US
3	1	0	1	1	2	0	1	3	3	15	1	18	1	US
3	3	3	2	2	1	3	1	2	2	22	2	42	3	GB
2	3	2	3	2	1	2	1	3	3	22	1	21	3	IN
2	2	2	1	1	2	0	1	0	1	12	2	24	3	IN
3	2	1	2	2	2	2	1	1	1	17	2	22	3	IT
2	1	2	2	2	1	0	1	0	0	11	2	16	3	US
2	2	1	0	0	1	1	1	1	1	10	1	21	1	GB
3	3	3	2	2	2	2	1	1	2	21	1	21	1	US
3	3	3	0	2	2	2	0	1	1	17	1	21	3	US
2	3	2	1	1	1	2	2	3	3	20	2	55	3	GB
3	3	3	2	2	3	3	1	3	3	26	1	39	1	US
2	2	3	1	2	3	3	0	3	3	22	2	37	1	DE
3	3	3	3	3	3	0	2	2	3	25	2	59	3	US
2	2	2	2	2	2	3	0	0	0	15	2	20	3	US
2	2	3	2	1	3	3	2	1	3	22	1	39	1	US
1	2	1	1	1	0	1	1	1	1	10	1	25	1	US
3	3	3	3	3	3	3	1	3	3	28	1	18	1	GY
2	2	1	1	0	1	1	1	1	2	12	2	36	1	NZ
2	2	2	2	2	2	1	1	1	1	16	2	42	1	US
1	2	2	1	1	2	2	0	0	1	12	2	29	3	AU
3	2	2	3	3	3	2	2	2	2	24	2	22	3	IN
3	3	2	2	3	2	2	2	2	2	23	2	19	3	US
2	2	2	2	2	3	3	1	1	2	20	1	24	3	IT
3	3	2	2	1	2	3	2	1	2	21	2	25	3	US
3	2	2	1	1	1	2	1	0	1	14	1	47	3	GB
3	3	2	2	2	2	3	2	2	2	23	2	53	1	CA
3	3	3	2	2	1	1	2	1	2	20	1	13	1	US
1	1	1	1	1	1	0	1	1	2	10	1	24	3	US
1	2	1	1	1	1	1	1	1	1	11	1	20	1	US
0	2	1	1	1	0	1	0	0	0	6	2	19	1	US
3	3	2	1	0	1	2	1	0	0	13	1	46	1	GB
0	1	1	1	0	0	0	1	0	0	4	1	30	3	FR
2	3	2	2	2	2	2	0	0	0	15	1	30	1	MY
2	2	2	1	0	1	1	0	0	1	10	1	60	3	US
2	3	2	3	2	2	2	2	2	3	23	1	45	1	GB
0	2	0	0	0	0	0	0	0	0	2	1	44	3	AU
3	3	3	3	3	3	3	3	0	3	27	2	55	3	BR
2	2	1	0	2	2	2	0	1	1	13	2	29	1	GB
2	2	2	2	2	2	2	2	1	1	18	2	34	3	NZ
3	3	3	3	3	3	0	3	0	3	24	2	40	3	US
0	0	1	0	0	0	0	2	0	0	3	2	22	1	US
3	3	2	3	2	2	2	2	2	1	22	2	23	3	LT
1	2	1	1	1	1	0	0	0	0	7	2	17	1	SG
2	2	1	2	2	2	2	1	0	2	16	1	48	3	CA
3	2	1	3	2	2	1	2	0	0	16	1	22	3	LV
3	3	3	2	2	2	3	2	2	3	25	2	28	1	MX
1	2	2	0	0	1	0	0	0	0	6	1	36	1	US
3	3	3	3	3	3	3	2	2	2	27	2	31	3	US
1	2	1	1	0	0	0	0	0	0	5	1	33	3	FR
2	2	2	2	2	2	2	2	1	2	19	2	58	3	US
2	3	3	3	2	3	1	1	2	1	21	1	16	3	IN
3	3	2	3	2	2	2	2	1	1	21	1	17	1	IN
2	2	1	1	1	1	2	1	0	0	11	1	44	1	GB
3	3	3	2	3	3	2	2	3	3	27	2	40	3	US
2	2	2	0	1	1	2	0	0	0	10	2	16	1	GB
2	2	2	2	1	1	0	1	1	1	13	1	37	1	GB
2	3	1	0	0	2	1	0	0	0	9	1	51	3	US
1	3	1	1	1	0	1	1	0	1	10	2	19	3	US
1	3	3	2	1	3	1	1	1	1	17	1	20	1	US
2	3	2	3	3	3	2	2	3	3	26	2	24	3	US
3	3	3	2	1	2	2	1	1	1	19	2	29	1	US
3	3	3	3	2	3	3	3	3	3	29	2	23	3	US
3	3	2	2	2	3	3	2	2	3	25	1	40	3	GB
3	3	3	1	2	2	3	2	1	0	20	2	22	1	US
2	3	2	2	1	3	3	1	3	3	23	2	40	3	GB
2	2	2	1	1	1	1	1	0	0	11	1	58	3	US
3	3	3	3	2	3	2	1	3	1	24	2	20	1	US
3	3	2	2	2	2	2	1	1	2	20	2	34	3	DK
3	3	3	2	2	3	3	2	2	3	26	2	34	3	DK
